50, Self-emp-not-inc,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, <=50K
49, Self-emp-inc,10, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
25, ?,10, Never-married, ?, White, Male, United-States, <=50K
19, Private,10, Never-married, Prof-specialty, White, Male, United-States, <=50K
31, Private,13, Separated, Sales, Black, Female, United-States, <=50K
29, Self-emp-not-inc,13, Married-civ-spouse, Sales, White, Male, United-States, >50K
23, Private,10, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
79, Private,10, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
27, Private,9, Never-married, Other-service, White, Male, Mexico, <=50K
40, Private,12, Married-civ-spouse, Adm-clerical, White, Male, United-States, <=50K
67, ?,6, Married-civ-spouse, ?, White, Male, United-States, <=50K
18, Private,7, Never-married, Other-service, White, Female, United-States, <=50K
31, Local-gov,4, Married-civ-spouse, Farming-fishing, White, Male, United-States, <=50K
18, Private,9, Never-married, Sales, White, Male, United-States, <=50K
52, Private,13, Married-civ-spouse, Other-service, White, Male, Cuba, <=50K
46, Private,9, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
59, Private,9, Married-civ-spouse, Sales, White, Male, United-States, <=50K
44, Private,9, Divorced, Craft-repair, White, Female, United-States, >50K
53, Private,9, Divorced, Sales, White, Female, United-States, <=50K
49, Local-gov,9, Married-civ-spouse, Protective-serv, White, Male, United-States, >50K
33, Private,14, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
30, Private,5, Never-married, Sales, White, Male, United-States, <=50K
43, Federal-gov,16, Never-married, Prof-specialty, White, Female, United-States, >50K
57, Private,11, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
37, Private,10, Divorced, Craft-repair, White, Female, United-States, <=50K
28, Private,10, Divorced, Machine-op-inspct, Black, Female, United-States, <=50K
30, Private,9, Married-civ-spouse, Sales, Asian-Pac-Islander, Female, ?, <=50K
34, Local-gov,13, Married-civ-spouse, Protective-serv, White, Male, United-States, >50K
29, Local-gov,10, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
48, Self-emp-not-inc,16, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
37, Private,10, Married-civ-spouse, Sales, White, Male, United-States, >50K
48, Private,12, Divorced, Exec-managerial, White, Female, England, <=50K
32, Federal-gov,9, Never-married, Other-service, Black, Male, United-States, <=50K
76, Private,14, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
44, Private,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
47, Self-emp-not-inc,14, Never-married, Prof-specialty, White, Female, United-States, <=50K
20, Private,10, Never-married, Tech-support, White, Female, United-States, <=50K
29, Private,9, Never-married, Craft-repair, White, Male, United-States, <=50K
32, Self-emp-inc,9, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
17, ?,6, Never-married, ?, White, Female, United-States, <=50K
30, Private,7, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
31, Local-gov,9, Never-married, Adm-clerical, White, Female, United-States, <=50K
42, Private,9, Married-civ-spouse, Handlers-cleaners, White, Male, United-States, <=50K
24, Private,13, Never-married, Sales, White, Male, United-States, <=50K
38, Private,15, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
56, Self-emp-not-inc,9, Married-civ-spouse, Other-service, White, Male, Canada, >50K
28, Private,10, Married-civ-spouse, Sales, White, Female, United-States, <=50K
36, Private,9, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
53, Private,5, Married-civ-spouse, Handlers-cleaners, White, Male, United-States, <=50K
56, Self-emp-inc,10, Married-civ-spouse, Sales, White, Male, United-States, <=50K
49, Local-gov,11, Married-civ-spouse, Craft-repair, Black, Male, United-States, >50K
55, Private,10, Married-civ-spouse, Sales, White, Male, United-States, <=50K
22, Private,9, Never-married, Craft-repair, White, Male, United-States, <=50K
21, Private,10, Never-married, Other-service, White, Female, United-States, <=50K
40, Private,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, <=50K
30, Private,13, Never-married, Exec-managerial, Black, Male, Germany, <=50K
29, State-gov,13, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
19, Private,10, Never-married, Other-service, Black, Male, United-States, <=50K
47, Private,13, Married-civ-spouse, Exec-managerial, White, Female, United-States, >50K
20, Private,10, Never-married, Adm-clerical, White, Female, United-States, <=50K
31, Private,12, Married-civ-spouse, Adm-clerical, White, Male, United-States, >50K
35, ?,9, Married-civ-spouse, ?, White, Male, United-States, <=50K
39, Private,10, Divorced, Craft-repair, White, Male, United-States, <=50K
28, Private,12, Never-married, Sales, White, Female, United-States, <=50K
24, Private,9, Never-married, Other-service, White, Female, United-States, <=50K
38, Self-emp-not-inc,9, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
37, Private,13, Married-civ-spouse, Sales, White, Male, United-States, <=50K
46, Private,12, Divorced, Tech-support, Black, Female, United-States, <=50K
38, Federal-gov,14, Married-civ-spouse, Prof-specialty, White, Male, Iran, >50K
43, Self-emp-not-inc,9, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
27, Private,11, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
20, Private,10, Never-married, Sales, White, Male, United-States, <=50K
49, Private,10, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, United-States, >50K
61, Self-emp-inc,9, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
27, Private,10, Never-married, Sales, White, Female, United-States, <=50K
19, Private,10, Never-married, Other-service, White, Male, Mexico, <=50K
45, Private,11, Never-married, Prof-specialty, White, Female, United-States, >50K
70, Private,10, Never-married, Tech-support, White, Male, United-States, <=50K
31, Private,9, Never-married, Transport-moving, Black, Female, United-States, <=50K
22, Private,10, Married-civ-spouse, Other-service, White, Male, United-States, <=50K
36, Private,9, Widowed, Other-service, White, Female, United-States, <=50K
64, Private,7, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
43, ?,10, Divorced, ?, White, Female, United-States, <=50K
47, Local-gov,10, Divorced, Adm-clerical, White, Female, Mexico, <=50K
34, Private,9, Never-married, Adm-clerical, White, Female, United-States, <=50K
33, Private,13, Never-married, Exec-managerial, Asian-Pac-Islander, Female, Philippines, <=50K
21, Private,9, Never-married, Craft-repair, White, Male, United-States, <=50K
52, ?,9, Divorced, ?, White, Male, United-States, >50K
48, Private,9, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
23, Private,13, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
71, Self-emp-not-inc,10, Separated, Sales, Black, Male, United-States, <=50K
29, Private,9, Divorced, Craft-repair, White, Male, United-States, <=50K
42, Private,13, Separated, Other-service, Black, Male, United-States, <=50K
68, ?,2, Divorced, ?, White, Female, United-States, <=50K
25, Private,9, Never-married, Other-service, White, Female, United-States, <=50K
44, Self-emp-inc,14, Divorced, Exec-managerial, Asian-Pac-Islander, Female, United-States, <=50K
28, Private,9, Never-married, Exec-managerial, Asian-Pac-Islander, Female, England, <=50K
45, Self-emp-not-inc,14, Married-civ-spouse, Sales, White, Male, United-States, >50K
36, Private,10, Divorced, Other-service, White, Female, Mexico, <=50K
39, Federal-gov,12, Never-married, Exec-managerial, White, Male, United-States, <=50K
46, State-gov,14, Widowed, Protective-serv, White, Male, United-States, <=50K
18, Private,7, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
66, Local-gov,11, Widowed, Prof-specialty, White, Female, United-States, <=50K
27, Private,9, Never-married, Other-service, White, Male, United-States, <=50K
28, State-gov,9, Married-civ-spouse, Protective-serv, White, Male, United-States, <=50K
51, Private,10, Married-civ-spouse, Sales, White, Male, United-States, >50K
27, Private,13, Never-married, Craft-repair, White, Male, United-States, <=50K
28, State-gov,13, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
27, Private,9, Married-spouse-absent, Sales, White, Female, United-States, <=50K
21, Private,9, Never-married, Craft-repair, Black, Male, United-States, <=50K
34, Private,9, Never-married, Handlers-cleaners, Black, Male, United-States, <=50K
18, Private,9, Never-married, Other-service, White, Male, United-States, <=50K
33, Private,13, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
44, Local-gov,10, Married-civ-spouse, Exec-managerial, Black, Male, United-States, >50K
43, Private,10, Divorced, Adm-clerical, White, Female, United-States, <=50K
30, Private,10, Never-married, Craft-repair, Black, Male, United-States, <=50K
40, Private,4, Married-civ-spouse, Machine-op-inspct, White, Male, Mexico, >50K
37, Federal-gov,10, Married-civ-spouse, Adm-clerical, White, Male, United-States, >50K
34, Private,9, Married-civ-spouse, Adm-clerical, Black, Male, United-States, <=50K
41, Self-emp-not-inc,13, Divorced, Exec-managerial, White, Female, United-States, <=50K
53, ?,13, Divorced, ?, White, Female, United-States, <=50K
31, Private,14, Married-civ-spouse, Prof-specialty, White, Female, United-States, <=50K
58, State-gov,16, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
38, Private,10, Divorced, Machine-op-inspct, Black, Female, United-States, <=50K
24, Private,10, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, <=50K
41, Local-gov,13, Married-civ-spouse, Craft-repair, Black, Male, United-States, <=50K
47, Private,10, Married-civ-spouse, Tech-support, White, Male, United-States, <=50K
41, Federal-gov,13, Married-civ-spouse, Tech-support, White, Male, United-States, <=50K
23, Private,3, Married-civ-spouse, Transport-moving, White, Male, Mexico, <=50K
36, Private,10, Divorced, Craft-repair, White, Male, United-States, <=50K
40, Federal-gov,14, Never-married, Exec-managerial, White, Female, United-States, >50K
35, Private,14, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
24, Self-emp-not-inc,9, Never-married, Sales, White, Male, United-States, <=50K
26, Private,14, Never-married, Prof-specialty, White, Female, United-States, <=50K
19, ?,9, Never-married, ?, White, Male, Italy, <=50K
51, Private,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
42, Local-gov,10, Never-married, Prof-specialty, White, Female, United-States, <=50K
37, State-gov,9, Divorced, Adm-clerical, White, Female, United-States, <=50K
18, Private,7, Never-married, Sales, White, Female, United-States, <=50K
36, Private,13, Married-civ-spouse, Other-service, Black, Male, United-States, >50K
35, Private,9, Divorced, Craft-repair, White, Male, United-States, <=50K
58, Self-emp-inc,9, Married-civ-spouse, Sales, White, Female, United-States, >50K
17, Private,7, Never-married, Sales, White, Female, United-States, <=50K
44, Local-gov,9, Married-civ-spouse, Transport-moving, Black, Male, United-States, <=50K
37, Private,9, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
35, Private,10, Never-married, Sales, Amer-Indian-Eskimo, Female, United-States, <=50K
60, Private,9, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, United-States, <=50K
54, Self-emp-inc,4, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, >50K
37, Private,13, Never-married, Exec-managerial, Black, Male, United-States, >50K
50, Private,12, Divorced, Sales, White, Female, United-States, <=50K
38, Private,13, Married-civ-spouse, Sales, White, Male, Poland, <=50K
45, Private,13, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
25, Private,6, Never-married, Craft-repair, White, Male, United-States, <=50K
31, Private,10, Married-civ-spouse, Handlers-cleaners, White, Male, United-States, <=50K
64, ?,2, Divorced, ?, White, Male, United-States, <=50K
90, Private,9, Never-married, Other-service, Black, Male, United-States, <=50K
54, Private,9, Married-civ-spouse, Adm-clerical, Black, Male, United-States, <=50K
53, Local-gov,1, Never-married, Machine-op-inspct, White, Female, United-States, <=50K
18, Private,9, Never-married, Sales, White, Female, United-States, <=50K
60, ?,6, Divorced, ?, Amer-Indian-Eskimo, Female, United-States, <=50K
66, Self-emp-not-inc,9, Married-civ-spouse, Farming-fishing, White, Male, United-States, <=50K
75, Private,11, Widowed, Adm-clerical, White, Female, Columbia, <=50K
65, Private,9, Divorced, Adm-clerical, White, Female, United-States, <=50K
35, Private,7, Separated, Transport-moving, Black, Male, United-States, <=50K
41, Private,9, Divorced, Sales, Black, Female, United-States, <=50K
25, Private,10, Never-married, Adm-clerical, White, Male, United-States, <=50K
33, Private,10, Divorced, Craft-repair, Other, Female, United-States, <=50K
28, Private,15, Never-married, Prof-specialty, White, Male, United-States, >50K
59, State-gov,9, Married-civ-spouse, Other-service, White, Male, United-States, <=50K
40, State-gov,10, Never-married, Adm-clerical, White, Female, United-States, <=50K
41, Private,13, Married-civ-spouse, Exec-managerial, White, Male, Iran, >50K
38, Local-gov,14, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
23, Private,9, Never-married, Transport-moving, White, Male, United-States, <=50K
40, Private,13, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
41, Self-emp-not-inc,9, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
24, State-gov,12, Married-civ-spouse, Protective-serv, White, Male, United-States, <=50K
20, ?,10, Never-married, ?, White, Male, United-States, <=50K
38, Private,10, Divorced, Craft-repair, White, Male, United-States, <=50K
56, Private,9, Married-civ-spouse, Adm-clerical, White, Male, ?, <=50K
58, Private,9, Married-civ-spouse, Adm-clerical, White, Male, United-States, >50K
32, Private,9, Never-married, Other-service, White, Female, United-States, <=50K
40, Private,12, Married-civ-spouse, Tech-support, White, Male, United-States, >50K
45, Private,9, Married-civ-spouse, Adm-clerical, White, Male, ?, <=50K
41, Private,15, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
42, Private,13, Married-civ-spouse, Adm-clerical, Black, Female, United-States, <=50K
59, Local-gov,6, Widowed, Other-service, Black, Female, United-States, <=50K
19, Local-gov,10, Never-married, Adm-clerical, White, Male, United-States, <=50K
58, Private,10, Never-married, Transport-moving, White, Male, United-States, <=50K
42, Self-emp-not-inc,9, Married-civ-spouse, Farming-fishing, Asian-Pac-Islander, Male, Cambodia, >50K
20, Private,9, Never-married, Other-service, White, Female, United-States, <=50K
32, Private,9, Separated, Other-service, White, Female, United-States, <=50K
45, Private,11, Widowed, Exec-managerial, White, Female, United-States, <=50K
50, Private,4, Divorced, Craft-repair, White, Male, United-States, <=50K
36, Private,13, Divorced, Prof-specialty, White, Female, United-States, <=50K
45, Private,9, Married-civ-spouse, Sales, White, Male, United-States, <=50K
17, Private,7, Never-married, Other-service, White, Male, United-States, <=50K
59, Private,10, Married-civ-spouse, Sales, White, Male, United-States, <=50K
26, Private,7, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
37, Self-emp-inc,10, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male, Thailand, >50K
19, ?,10, Never-married, ?, White, Male, Canada, <=50K
64, Private,9, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
33, Private,13, Never-married, Prof-specialty, White, Female, United-States, <=50K
33, Private,9, Married-civ-spouse, Craft-repair, White, Female, United-States, >50K
61, Private,9, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
17, Private,5, Never-married, Other-service, White, Male, United-States, <=50K
50, Self-emp-not-inc,14, Married-civ-spouse, Farming-fishing, White, Male, United-States, <=50K
27, Local-gov,14, Never-married, Prof-specialty, White, Male, United-States, <=50K
30, Private,9, Divorced, Prof-specialty, White, Female, United-States, <=50K
43, Private,9, Married-civ-spouse, Handlers-cleaners, Black, Male, United-States, <=50K
44, Private,10, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
35, Private,10, Never-married, Exec-managerial, White, Female, United-States, <=50K
25, Private,10, Never-married, Tech-support, White, Female, United-States, <=50K
24, Private,10, Married-civ-spouse, Machine-op-inspct, White, Female, United-States, >50K
22, Private,13, Never-married, Prof-specialty, White, Female, Germany, <=50K
42, Local-gov,10, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
34, Private,12, Divorced, Sales, Black, Female, United-States, <=50K
60, Private,13, Divorced, Prof-specialty, White, Female, United-States, <=50K
21, Private,9, Never-married, Handlers-cleaners, White, Male, United-States, <=50K
57, Federal-gov,14, Married-civ-spouse, Sales, White, Male, United-States, >50K
41, Private,15, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
50, Private,10, Divorced, Other-service, White, Male, United-States, <=50K
25, Private,13, Never-married, Exec-managerial, White, Female, United-States, <=50K
50, Private,4, Married-civ-spouse, Craft-repair, White, Male, Ecuador, <=50K
36, Private,13, Married-civ-spouse, Prof-specialty, White, Male, United-States, <=50K
31, Private,9, Divorced, Prof-specialty, White, Female, United-States, <=50K
29, Local-gov,13, Never-married, Protective-serv, White, Male, United-States, <=50K
21, Private,10, Never-married, Sales, White, Male, United-States, <=50K
27, Private,13, Never-married, Tech-support, Black, Female, United-States, <=50K
65, Private,9, Married-civ-spouse, Transport-moving, White, Male, United-States, <=50K
37, Self-emp-inc,13, Divorced, Sales, White, Female, United-States, <=50K
39, ?,14, Married-civ-spouse, ?, Asian-Pac-Islander, Female, ?, <=50K
24, Private,9, Never-married, Craft-repair, White, Male, United-States, <=50K
38, Private,9, Divorced, Sales, White, Male, United-States, <=50K
48, Private,13, Married-civ-spouse, Adm-clerical, White, Male, United-States, >50K
21, Private,10, Never-married, Other-service, Asian-Pac-Islander, Female, United-States, <=50K
31, Private,9, Married-civ-spouse, Transport-moving, White, Male, United-States, >50K
55, Private,9, Married-civ-spouse, Sales, White, Male, United-States, >50K
24, Private,10, Married-civ-spouse, Adm-clerical, Asian-Pac-Islander, Female, Laos, <=50K
43, Private,9, Divorced, Adm-clerical, White, Female, United-States, <=50K
26, Private,12, Never-married, Tech-support, White, Male, United-States, <=50K
46, Private,12, Never-married, Prof-specialty, White, Female, United-States, <=50K
35, Private,12, Married-civ-spouse, Adm-clerical, White, Male, United-States, >50K
41, Self-emp-inc,10, Married-civ-spouse, Farming-fishing, White, Male, United-States, >50K
26, Private,13, Never-married, Sales, White, Male, United-States, <=50K
34, Private,14, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male, Taiwan, >50K
19, ?,10, Never-married, ?, Black, Female, United-States, <=50K
36, Self-emp-not-inc,13, Divorced, Prof-specialty, Black, Female, United-States, >50K
22, Private,10, Never-married, Sales, White, Male, United-States, <=50K
24, Private,10, Never-married, Machine-op-inspct, White, Male, United-States, <=50K
77, Self-emp-not-inc,10, Married-civ-spouse, Sales, White, Male, United-States, <=50K
22, Private,3, Married-civ-spouse, Machine-op-inspct, White, Female, Mexico, <=50K
29, Private,10, Never-married, Tech-support, White, Female, United-States, <=50K
62, Private,9, Widowed, Other-service, White, Female, United-States, <=50K
39, Self-emp-not-inc,9, Married-civ-spouse, Exec-managerial, White, Male, United-States, <=50K
43, Private,10, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
35, Private,9, Divorced, Transport-moving, White, Male, United-States, <=50K
29, Private,7, Never-married, Exec-managerial, White, Female, United-States, <=50K
76, Self-emp-not-inc,14, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
63, Self-emp-not-inc,9, Married-civ-spouse, Farming-fishing, White, Male, United-States, <=50K
23, ?,11, Never-married, ?, Black, Female, United-States, <=50K
43, Private,10, Married-civ-spouse, Prof-specialty, White, Female, United-States, >50K
58, Self-emp-not-inc,9, Married-civ-spouse, Handlers-cleaners, White, Male, United-States, <=50K
66, Private,9, Never-married, Transport-moving, White, Male, United-States, <=50K
41, Private,10, Never-married, Craft-repair, Black, Male, United-States, <=50K
26, Private,13, Never-married, Adm-clerical, White, Male, United-States, <=50K
47, Private,11, Never-married, Other-service, White, Male, United-States, <=50K
55, Local-gov,6, Married-civ-spouse, Adm-clerical, White, Male, United-States, <=50K
53, Private,9, Married-civ-spouse, Transport-moving, White, Male, United-States, <=50K
17, Private,3, Never-married, Other-service, White, Male, Mexico, <=50K
30, Private,9, Never-married, Craft-repair, White, Male, United-States, <=50K
49, Private,14, Never-married, Prof-specialty, White, Male, United-States, <=50K
19, Private,9, Never-married, Sales, Black, Male, Haiti, <=50K
45, Private,9, Married-civ-spouse, Other-service, Black, Male, United-States, <=50K
26, Private,12, Never-married, Sales, White, Male, United-States, <=50K
38, Private,11, Married-civ-spouse, Craft-repair, White, Male, United-States, >50K
36, State-gov,9, Married-civ-spouse, Protective-serv, White, Male, United-States, >50K
33, Private,9, Never-married, Farming-fishing, White, Male, United-States, <=50K
22, State-gov,10, Never-married, Protective-serv, Black, Female, United-States, <=50K
43, Self-emp-not-inc,13, Never-married, Sales, White, Male, United-States, <=50K
67, ?,7, Married-civ-spouse, ?, White, Male, United-States, <=50K
30, ?,11, Divorced, ?, White, Female, United-States, <=50K
56, Private,12, Married-spouse-absent, Other-service, White, Male, Iran, <=50K
31, Private,13, Never-married, Prof-specialty, White, Male, United-States, <=50K
33, Private,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
26, Private,9, Married-civ-spouse, Other-service, White, Male, United-States, <=50K
33, Private,13, Married-civ-spouse, Exec-managerial, White, Male, United-States, >50K
46, Local-gov,7, Married-civ-spouse, Transport-moving, White, Male, United-States, <=50K
59, ?,13, Married-civ-spouse, ?, White, Male, United-States, >50K
38, Federal-gov,9, Married-civ-spouse, Adm-clerical, White, Male, United-States, >50K
65, Private,7, Widowed, Other-service, Other, Male, United-States, <=50K
40, Private,11, Married-civ-spouse, Tech-support, White, Male, United-States, >50K
42, Private,9, Married-civ-spouse, Adm-clerical, White, Female, United-States, <=50K
26, Self-emp-not-inc,5, Married-civ-spouse, Craft-repair, White, Male, Portugal, <=50K
36, Private,6, Married-civ-spouse, Other-service, White, Female, United-States, <=50K
62, Private,14, Married-civ-spouse, Prof-specialty, White, Male, United-States, >50K
43, Private,13, Married-civ-spouse, Transport-moving, White, Male, United-States, <=50K
43, Private,13, Divorced, Exec-managerial, White, Male, United-States, >50K
22, Private,9, Married-spouse-absent, Sales, White, Male, United-States, <=50K
28, Private,9, Married-civ-spouse, Craft-repair, White, Male, United-States, <=50K
56, Self-emp-not-inc,10, Married-civ-spouse, Sales, White, Male, United-States, <=50K
22, Private,12, Never-married, Sales, White, Female, United-States, <=50K
57, Private,13, Divorced, Exec-managerial, White, Female, United-States, >50K
39, Private,9, Divorced, Sales, White, Female, United-States, <=50K
26, Federal-gov,10, Never-married, Adm-clerical, White, Female, United-States, <=50K
17, Private,7, Never-married, Other-service, White, Male, United-States, <=50K
40, State-gov,11, Married-civ-spouse, Machine-op-inspct, White, Male, United-States, >50K
45, Private,9, Married-civ-spouse, Machine-op-inspct, Black, Male, United-States, <=50K
44, Private,9, Never-married, Craft-repair, Black, Male, United-States, <=50K
20, Local-gov,10, Never-married, Adm-clerical, White, Female, United-States, <=50K
33, Private,9, Married-civ-spouse, Craft-repair, White, Female, United-States, <=50K
23, Private,10, Never-married, Sales, White, Male, United-States, <=50K
46, Self-emp-not-inc,14, Divorced, Exec-managerial, White, Male, United-States, <=50K
